Python基础教程(第2版修订版)  Python入门佳作 经典教程的全新修订 10个项目引人入胜 , 53.00
Python核心编程 第3版  畅销经典的Python基础教程学习手册进阶图书 上一版销量近10万册 Python开发人员的案头必备 , 78.20
利用Python进行数据分析  大量实践案例教会你如何利用Python库高效解决各式各样的数据分析问题 , 70.30
Python编程（第四版）  Python高手进阶宝典，包含大量实用Python编程技巧，涵盖Python编程的方方面面，涵盖Python 3.X，是Python领域经典的开发指南。 , 156.40
用Python写网络爬虫  全面剖析爬虫技术的实现原理 利用Python的强大功能从任意网站爬取数据 , 35.50
Python编程 从入门到实践  Python编程入门图书；从基本概念到完整项目开发，帮助零基础读者迅速掌握Python编程 , 70.30
Python学习手册：第4版（涵盖Python2.6和3.X）   , 94.00
Head First Python（中文版）  经典Python图书，初中级Python独门秘笈，涵盖Python3.0。摒弃枯燥、死板的说教方式，以类似生动PPT的形式教你学Python , 53.70
零基础学Python(300个实例、64个练习题，超值大容量DVD包含教学视频、源代码、PPT)   , 62.40
“笨办法”学Python(第3版)  尽享5小时的完整视频教程 跟着数十万人的Python导师学Python编程入门基础教程 为Web开发实战 数据分析打下坚实基础 , 38.70
Python自动化运维：技术与最佳实践  中国运维领域“划时代”作品，偶像级专家、腾讯高级系统工程师10年亮剑，首部从纵、深和实践角度探讨Python在运维领域应用著作 , 54.50
Python绝技：运用Python成为顶级黑客  Xcon&神话行动创始人呆神、Keenteam陈良、鹰总cnhawk、知道创宇技术副总裁余弦、长亭科技首席安全研究员杨坤联合推荐！本书将作为“神话――信息安全人才颠覆行动”学员学习用专业书! , 62.40
Python编程快速上手 让繁琐工作自动化  亚马逊畅销Python编程图书 杰出Python程序员力作 带你快速掌握Python高效编程 , 54.50
零基础入门学习Python  96集免费视频教程，小甲鱼手把手教您Python3开发 , 39.10
Python金融大数据分析  一本详细讲解使用Python分析处理金融大数据的专业图书 金融应用开发领域从业人员必读 学习Python编程入门基础教程 成为数据分析高手 , 78.20
Python项目开发实战 第2版  会写代码不等于能做好项目！网罗Python项目开发中的流程，让你的编程事半功倍 , 67.20
Python核心编程（第二版）(Python领域经典作品、非常有名的开发指南)   , 70.30
