secID,publishDate,endDate,endDateRep,partyID,ticker,secShortName,exchangeCD,actPubtime,mergedFlag,reportType,fiscalPeriod,accoutingStandards,currencyCD,cashCEquiv,settProv,loanToOthBankFi,tradingFA,NotesReceiv,AR,prepayment,premiumReceiv,reinsurReceiv,reinsurReserReceiv,intReceiv,divReceiv,othReceiv,purResaleFa,inventories,NCAWithin1Y,othCA,TCA,disburLA,availForSaleFa,htmInvest,LTReceive,LTEquityInvest,investRealEstate,fixedAssets,CIP,constMaterials,fixedAssetsDisp,producBiolAssets,oilAndGasAssets,intanAssets,RD,goodwill,LTAmorExp,deferTaxAssets,othNCA,TNCA,TAssets,STBorr,CBBorr,depos,loanFrOthBankFi,tradingFL,NotesPayable,AP,advanceReceipts,soldForRepurFa,commisPayable,payrollPayable,taxesPayable,intPayable,divPayable,othPayable,reinsurPayable,insurReser,fundsSecTradAgen,fundsSecUndwAgen,NCLWithin1Y,othCL,TCL,LTBorr,bondPayable,preferredStockL,perpetualBondL,LTPayable,specificPayables,estimatedLiab,deferTaxLiab,othNCL,TNCL,TLiab,paidInCapital,othEquityInstr,preferredStockE,perpetualBondE,capitalReser,treasuryShare,othCompreIncome,specialReser,surplusReser,ordinRiskReser,retainedEarnings,forexDiffer,TEquityAttrP,minorityInt,TShEquity,TLiabEquity
000848.XSHE,2018-04-14,2018-03-31,2018-03-31,395,000848,承德露露,XSHE,2018-04-13 16:05:42,1,Q1,3,CHAS_2007,CNY,1928222280.71,,,,,857107.64,21610627.16,,,,,,242404.92,,178297967.71,,112087.95,2129342476.09,,900000.0,,,5383810.89,,257634793.69,22318195.29,,,,,314527957.02,,2814000.0,755634.01,9224663.82,,613559054.72,2742901530.81,,,,,,,113380258.69,195573995.23,,,65691418.56,35682217.55,,,31500189.17,,,,,,,441828079.2,,,,,,,,49268479.25,,49268479.25,491096558.45,978562728,,,,17308439.11,,,,358344555.49,,862766662.83,,2216982385.43,34822586.93,2251804972.36,2742901530.81
000848.XSHE,2018-04-14,2017-12-31,2018-03-31,395,000848,承德露露,XSHE,2018-04-13 16:05:42,1,A,12,CHAS_2007,CNY,1905659309.87,,,,,264529.79,22170550.75,,,,,,302067.43,,258314175.97,,84910.06,2186795543.87,,900000.0,,,5383810.89,,259745973.19,22667158.26,,,,,317053097.28,,2814000.0,902888.88,15379598.42,,624846526.92,2811642070.79,,,,,,,197452887.51,391556519.59,,,66115309.85,43069799.13,,,32212690.58,,,,,,,730407206.66,,,,,,,,48026416.75,,48026416.75,778433623.41,978562728,,,,17308439.11,,,,358344555.49,,644151221.11,,1998366943.71,34841503.67,2033208447.38,2811642070.79
000848.XSHE,2017-10-21,2017-09-30,2017-09-30,395,000848,承德露露,XSHE,2017-10-20 15:51:58,1,Q3,9,CHAS_2007,CNY,1663852698.17,,,,,77043.88,25365264.09,,,,,,122853.97,,139760715.59,,3444208.89,1832622784.59,,900000.0,,,6220000.9,,254484656.58,22819013.94,166666.66,,,,319578237.54,,2814000.0,846928.82,1714329.3,,609543833.74,2442166618.33,,,,,,,190682552.08,149357589.32,,,38454342.1,63437279.63,,,16840675.25,,,,,,,458772438.38,,,,,,,,46784354.25,,46784354.25,505556792.63,978562728,,,,17308439.11,,,,303648092.34,,604323825.95,,1903843085.4,32766740.3,1936609825.7,2442166618.33
000848.XSHE,2017-07-29,2017-06-30,2017-06-30,395,000848,承德露露,XSHE,2017-07-28 16:46:18,1,S1,6,CHAS_2007,CNY,1374631801.7,,,,,1113399.88,40671679.58,,,,,,557936.8,,133924859.34,,,1550899677.3,,900000.0,,,6220000.9,,258680785.68,21725012.14,,,,,322101668.4,,2814000.0,975268.44,4146630.33,,617563365.89,2168463043.19,,,,,,,96481442.1,127641150.13,,,36404420.59,12326610.6,,,5534236.48,,,,,,,278387859.9,,,,,,,,45542291.75,,45542291.75,323930151.65,978562728,,,,17308439.11,,,,303648092.34,,512896523.04,,1812415782.49,32117109.05,1844532891.54,2168463043.19
000848.XSHE,2017-04-28,2017-03-31,2017-03-31,395,000848,承德露露,XSHE,2017-04-27 20:21:25,1,Q1,3,CHAS_2007,CNY,1738867501.19,,,,,1246767.92,53317492.01,,,,,,1206486.11,,141088804.26,,481356.15,1936208407.64,,900000.0,,,6420270.57,,263497842.63,21527471.44,,,,,324626575.56,,2814000.0,975284.53,3327939.08,,624089383.81,2560297791.45,,,,,,,172366675.65,52228866.18,,,42093424.47,31130503.76,,,11989974.98,,,,,,,309809445.04,,,,,,,,44300229.25,,44300229.25,354109674.29,978562728,,,,17308439.11,,,,303648092.34,,873644243.47,,2173163502.92,33024614.24,2206188117.16,2560297791.45
000848.XSHE,2018-03-17,2016-12-31,2017-12-31,395,000848,承德露露,XSHE,2018-03-16 20:35:55,1,A,12,CHAS_2007,CNY,2161877794.1,,,,10000000.0,5433440.48,44555433.32,,,,,,2561860.17,,233145453.51,,136675.17,2457710656.75,,900000.0,,,6420270.57,,268977553.58,19537124.43,,,,,327151482.72,,2814000.0,772837.03,12046590.81,,638619859.14,3096330515.89,,,,,,,281939358.78,640360725.02,,,55334789.64,58595243.84,,,10543888.34,,,,,,,1046774005.62,,,,,,,,43058166.75,,43058166.75,1089832172.37,978562728,,,,17308439.11,,,,303648092.34,,676674913.46,,1976194172.91,30304170.61,2006498343.52,3096330515.89
000848.XSHE,2016-10-25,2016-09-30,2016-09-30,395,000848,承德露露,XSHE,2016-10-24 15:46:00,1,Q3,9,CHAS_2007,CNY,1483613526.29,,,,,1787903.43,92892357.92,,,,,,2125407.73,,134411466.35,,,1714830661.72,,900000.0,,,12396458.44,,239864706.83,45596450.04,1751214.61,,,,329676389.88,,2814000.0,779154.67,1478819.45,,635257193.92,2350087855.64,,,,,,,172544934.84,111587328.96,,,44204152.11,55090059.25,,,6818072.58,,,,,,,390244547.74,,,,,,,,41816104.25,,41816104.25,432060651.99,978562728,,,,17308439.11,,,,260790932.25,,633168759.84,,1889830859.2,28196344.45,1918027203.65,2350087855.64
000848.XSHE,2016-08-25,2016-06-30,2016-06-30,395,000848,承德露露,XSHE,2016-08-24 15:45:10,1,S1,6,CHAS_2007,CNY,1295204963.55,,,,,471969.34,98893926.42,,,,,,754083.38,,125566563.17,,,1520891505.86,,900000.0,,,5396458.44,,246328042.55,44003063.97,1751214.61,,,,332201297.04,,2814000.0,892695.61,2421724.85,,636708497.07,2157600002.93,,,,,,,134781054.0,87644693.31,,,40462963.61,19826900.01,,,6452410.94,,,,,,,289168021.87,,,,,,,,40574041.75,,40574041.75,329742063.62,978562728,,,,17308439.11,,,,260790932.25,,542123464.65,,1798785564.01,29072375.3,1827857939.31,2157600002.93
000848.XSHE,2016-04-28,2016-03-31,2016-03-31,395,000848,承德露露,XSHE,2016-04-27 16:34:52,1,Q1,3,CHAS_2007,CNY,1481608493.5,,,,,14643486.83,107869786.93,,,,,,663109.94,,96659679.76,,,1701444556.96,,900000.0,,,3486226.13,,251468918.38,43929777.97,1751214.61,,,,334726277.82,,2814000.0,839111.94,1779161.53,,641694688.38,2343139245.34,,,,,,,205087106.85,56290842.66,,,48077188.34,40324994.07,,,5079371.24,,,,,,,354859503.16,,,,,,,,39331979.25,,39331979.25,394191482.41,752740560,,,,17308439.11,,,,260790932.25,,888736597.43,,1919576528.79,29371234.14,1948947762.93,2343139245.34
000848.XSHE,2017-04-28,2015-12-31,2016-12-31,395,000848,承德露露,XSHE,2017-04-27 20:21:25,1,A,12,CHAS_2007,CNY,1502165833.15,,,,4600000.0,1877981.31,173873465.49,,,,,,3061677.75,,165853446.24,,732549.15,1852164953.09,,900000.0,,,6116474.62,,255059376.45,31478756.01,1715197.51,,,,337251111.36,,2814000.0,619231.84,3307827.05,,639261974.84,2491426927.93,,,,,,,206945569.32,404701147.02,,,51922323.11,77657187.03,,,10788208.02,,,,,,,752014434.5,,,,,,,,38089916.75,,38089916.75,790104351.25,752740560,,,,17308439.11,,,,260790932.25,,645535298.08,,1676375229.44,24947347.24,1701322576.68,2491426927.93
