secID,publishDate,endDate,endDateRep,partyID,ticker,secShortName,exchangeCD,actPubtime,mergedFlag,reportType,fiscalPeriod,accoutingStandards,currencyCD,tRevenue,revenue,intIncome,intExp,premEarned,commisIncome,commisExp,TCogs,COGS,premRefund,NCompensPayout,reserInsurContr,policyDivPayt,reinsurExp,bizTaxSurchg,sellExp,adminExp,finanExp,assetsImpairLoss,fValueChgGain,investIncome,AJInvestIncome,forexGain,assetsDispGain,othGain,operateProfit,NoperateIncome,NoperateExp,NCADisploss,TProfit,incomeTax,NIncome,goingConcernNI,quitConcernNI,NIncomeAttrP,minorityGain,basicEPS,dilutedEPS,othComprIncome,TComprIncome,comprIncAttrP,comprIncAttrMS
000848.XSHE,2018-04-14,2018-03-31,2018-03-31,395,000848,承德露露,XSHE,2018-04-13 16:05:42,1,Q1,3,CHAS_2007,CNY,895593873.57,895593873.57,,,,,,606327449.34,421435140.95,,,,,,12203601.82,158105559.39,19925763.23,-5342616.05,,,,,,,6100000.0,295366424.23,14513.04,591.45,,295380345.82,76783820.84,218596524.98,218596524.98,,218615441.72,-18916.74,0.22,0.22,,218596524.98,218615441.72,-18916.74
000848.XSHE,2018-03-17,2017-12-31,2017-12-31,395,000848,承德露露,XSHE,2018-03-16 20:35:55,1,A,12,CHAS_2007,CNY,2111873347.17,2111873347.17,,,,,,1560026134.81,1113965278.99,,,,,,23234002.87,377631067.09,63612911.74,-19026446.27,609320.39,,-1036459.68,-1036459.68,-557713.33,,10101381.0,560354420.35,275546.72,80000.0,,560549967.07,142414772.01,418135195.06,418135195.06,,413597862.0,4537333.06,0.42,0.42,,418135195.06,413597862.0,4537333.06
000848.XSHE,2017-10-21,2017-09-30,2017-09-30,395,000848,承德露露,XSHE,2017-10-20 15:51:58,1,Q3,3,CHAS_2007,CNY,521644364.05,521644364.05,,,,,,397412217.06,270746389.35,,,,,,7434989.31,110325810.92,17588102.0,-8683074.52,,,,,,,,124232146.99,391251.95,413317.04,,124210081.9,32133147.74,92076934.16,,,91427302.91,649631.25,0.09,0.09,,92076934.16,91427302.91,649631.25
000848.XSHE,2017-10-21,2017-09-30,2017-09-30,395,000848,承德露露,XSHE,2017-10-20 15:51:58,1,CQ3,9,CHAS_2007,CNY,1559916080.41,1559916080.41,,,,,,1131501436.66,840546188.35,,,,,,19158012.57,245834298.07,40048938.86,-14086001.19,,,-200269.67,-200269.67,,,,428214374.08,10601001.93,493317.04,,438322058.97,116785485.59,321536573.38,,,319074003.69,2462569.69,0.33,0.33,,321536573.38,319074003.69,2462569.69
000848.XSHE,2017-07-29,2017-06-30,2017-06-30,395,000848,承德露露,XSHE,2017-07-28 16:46:18,1,S1,6,CHAS_2007,CNY,1038271716.36,1038271716.36,,,,,,734089219.6,569799799.0,,,,,,11723023.26,135508487.15,22460836.86,-5402926.67,,,-200269.67,-200269.67,,,,303982227.09,10209749.98,80000.0,,314111977.07,84652337.85,229459639.22,,,227646700.78,1812938.44,0.23,0.23,,229459639.22,227646700.78,1812938.44
000848.XSHE,2018-04-14,2017-03-31,2018-03-31,395,000848,承德露露,XSHE,2018-04-13 16:05:42,1,Q1,3,CHAS_2007,CNY,791229880.52,791229880.52,,,,,,529341277.88,414563516.98,,,,,,8186807.72,98402476.6,9356756.54,-1168279.96,,,,,,,,261888602.64,7352041.0,30000.0,,269210643.64,69520870.0,199689773.64,199689773.64,,196969330.01,2720443.63,0.2,0.2,,199689773.64,196969330.01,2720443.63
000848.XSHE,2018-03-17,2016-12-31,2017-12-31,395,000848,承德露露,XSHE,2018-03-16 20:35:55,1,A,12,CHAS_2007,CNY,2520897586.14,2520897586.14,,,,,,1902273638.07,1413262509.88,,,,,,24963084.03,421231459.47,62244222.54,-20246380.65,818742.8,,-6696204.05,-6696204.05,-1537973.32,,,610389770.7,2283290.5,4298233.67,,608374827.53,152650948.69,455723878.84,455723878.84,,450367055.47,5356823.37,0.46,0.46,,455723878.84,450367055.47,5356823.37
000848.XSHE,2017-10-21,2016-09-30,2017-09-30,395,000848,承德露露,XSHE,2017-10-20 15:51:58,1,Q3,3,CHAS_2007,CNY,512642721.85,512642721.85,,,,,,387703770.51,305129816.62,,,,,,3842373.93,69505838.93,13895705.95,-4670084.42,119.5,,,,,,,124938951.34,,1012565.67,,123926385.67,33757121.33,90169264.34,,,91045295.19,-876030.85,0.09,0.09,,90169264.34,91045295.19,-876030.85
000848.XSHE,2017-10-21,2016-09-30,2017-09-30,395,000848,承德露露,XSHE,2017-10-20 15:51:58,1,CQ3,9,CHAS_2007,CNY,1974947423.46,1974947423.46,,,,,,1474847866.24,1096080185.66,,,,,,17240389.97,326409456.22,47674432.26,-12553897.87,-2700.0,,-720016.18,-720016.18,,,,499379541.04,175737.5,1021308.17,8742.5,498533970.37,131281231.4,367252738.97,,,364003741.76,3248997.21,0.37,0.37,,367252738.97,364003741.76,3248997.21
000848.XSHE,2017-07-29,2016-06-30,2017-06-30,395,000848,承德露露,XSHE,2017-07-28 16:46:18,1,S1,6,CHAS_2007,CNY,1462304701.61,1462304701.61,,,,,,1087144095.73,790950369.04,,,,,,13398016.04,256903617.29,33778726.31,-7883813.45,-2819.5,,-720016.18,-720016.18,,,,374440589.7,175737.5,8742.5,8742.5,374607584.7,97524110.07,277083474.63,,,272958446.57,4125028.06,0.28,0.28,,277083474.63,272958446.57,4125028.06
000848.XSHE,2017-04-28,2016-03-31,2017-03-31,395,000848,承德露露,XSHE,2017-04-27 20:21:25,1,Q1,3,CHAS_2007,CNY,1254233600.65,1254233600.65,,,,,,918975449.62,660136998.42,,,,,,12610727.62,233569555.61,15243799.79,-2585631.82,,,-2630248.49,-2630248.49,,,,332627902.54,102665.0,19720.0,8742.5,332710847.54,85085661.29,247625186.25,,,243201299.35,4423886.9,0.33,0.33,,247625186.25,243201299.35,4423886.9
000848.XSHE,2017-04-28,2015-12-31,2016-12-31,395,000848,承德露露,XSHE,2017-04-27 20:21:25,1,A,12,CHAS_2007,CNY,2706238122.26,2706238122.26,,,,,,2091380623.71,1529266554.21,,,,,,23879293.65,483395752.34,72035310.73,-18640291.68,1444004.46,,-1506865.71,-1506865.71,,,,613350632.84,9624622.16,16308.28,1625.0,622958946.72,154376653.55,468582293.17,,,463234690.64,5347602.53,0.47,0.47,,468582293.17,463234690.64,5347602.53
000848.XSHE,2016-10-25,2015-09-30,2016-09-30,395,000848,承德露露,XSHE,2016-10-24 15:46:00,1,Q3,3,CHAS_2007,CNY,558401795.43,558401795.43,,,,,,441381462.45,322389149.74,,,,,,5038858.02,101466313.32,18965192.12,-6478050.75,,,,,,,,117020332.98,750577.0,7999.82,-6683.46,117762910.16,31013516.36,86749393.8,,,87210728.61,-461334.81,0.09,0.09,,86749393.8,87210728.61,-461334.81
000848.XSHE,2016-10-25,2015-09-30,2016-09-30,395,000848,承德露露,XSHE,2016-10-24 15:46:00,1,CQ3,9,CHAS_2007,CNY,2131644140.34,2131644140.34,,,,,,1662068421.02,1214810327.39,,,,,,19616880.86,384577747.58,55053592.33,-11989627.14,-500.0,,-410245.68,-410245.68,,,,469165473.64,2356554.05,14683.28,,471507344.41,122835461.86,348671882.55,,,344391534.16,4280348.39,0.3519,0.3501,,348671882.55,344391534.16,4280348.39
000848.XSHE,2016-08-25,2015-06-30,2016-06-30,395,000848,承德露露,XSHE,2016-08-24 15:45:10,1,S1,6,CHAS_2007,CNY,1573242344.91,1573242344.91,,,,,,1220686958.57,892421177.65,,,,,,14578022.84,283111434.26,36088400.21,-5511576.39,-500.0,,-410245.68,-410245.68,,,,352145140.66,1605977.05,6683.46,6683.46,353744434.25,91821945.5,261922488.75,,,257180805.55,4741683.2,0.26,0.26,,261922488.75,257180805.55,4741683.2
000848.XSHE,2016-04-28,2015-03-31,2016-03-31,395,000848,承德露露,XSHE,2016-04-27 16:34:52,1,Q1,3,CHAS_2007,CNY,1245653286.72,1245653286.72,,,,,,933145665.21,695049096.79,,,,,,13503917.69,207961097.7,17743005.67,-1111452.64,,,-132576.8,-132576.8,,,,312375044.71,1567396.4,,,313942441.11,79760741.98,234181699.13,,,229636568.5,4545130.63,0.46,0.46,,234181699.13,229636568.5,4545130.63
000848.XSHE,2016-03-11,2014-12-31,2015-12-31,395,000848,承德露露,XSHE,2016-03-10 19:04:42,1,A,12,CHAS_2007,CNY,2702791629.97,2702791629.97,,,,,,2116747503.99,1580113895.53,,,,,,22977850.42,457516803.57,66938591.61,-13071814.25,2272177.11,,-991017.32,-991017.32,,,,585053108.66,13358958.69,175242.12,166456.12,598236825.23,148138941.33,450097883.9,,,443189943.39,6907940.51,0.59,0.59,,450097883.9,443189943.39,6907940.51
000848.XSHE,2015-10-24,2014-09-30,2015-09-30,395,000848,承德露露,XSHE,2015-10-23 16:07:26,1,Q3,3,CHAS_2007,CNY,573365995.14,573365995.14,0.0,0.0,0.0,0.0,0.0,466895101.7,355052097.77,0.0,0.0,0.0,0.0,0.0,3460317.13,101201790.22,12461776.64,-5280880.06,0.0,0.0,-165671.09,-165671.09,0.0,,,106305222.35,1209139.84,58296.85,58296.85,107456065.34,28144466.6,79311598.74,,,79299616.57,11982.17,-0.0697,-0.0697,0.0,79311598.74,79299616.57,11982.17
000848.XSHE,2015-10-24,2014-09-30,2015-09-30,395,000848,承德露露,XSHE,2015-10-23 16:07:26,1,CQ3,9,CHAS_2007,CNY,2106764180.96,2106764180.96,,,,,,1645928788.07,1232232989.83,,,,,,19187237.23,357734511.65,46033037.65,-9258988.29,,,-497553.27,-497553.27,,,,460337839.62,9740469.84,81084.66,72298.66,469997224.8,121592515.5,348404709.3,,,342807972.55,5596736.75,0.4554,0.4458,,348404709.3,342807972.55,5596736.75
000848.XSHE,2015-08-22,2014-06-30,2015-06-30,395,000848,承德露露,XSHE,2015-08-21 16:46:36,1,S1,6,CHAS_2007,CNY,1533398185.82,1533398185.82,,,,,,1179033686.37,877180892.06,,,,,,15726920.1,256532721.43,33571261.01,-3978108.23,,,-331882.18,-331882.18,,,,354032617.27,8531330.0,22787.81,14001.81,362541159.46,93448048.9,269093110.56,,,263508355.98,5584754.58,0.5251,0.5251,,269093110.56,263508355.98,5584754.58
000848.XSHE,2015-04-25,2014-03-31,2015-03-31,395,000848,承德露露,XSHE,2015-04-24 23:53:01,1,Q1,3,CHAS_2007,CNY,1286123773.5,1286123773.5,,,,,,957680946.73,706096528.44,,,,,,13551839.94,222519672.82,16556945.04,-1044039.51,,,-120222.15,-120222.15,,,,328322604.62,15530.0,,,328338134.62,83356651.69,244981482.93,,,239336608.02,5644874.91,0.6,0.6,,244981482.93,239336608.02,5644874.91
000848.XSHE,2015-03-20,2013-12-31,2014-12-31,395,000848,承德露露,XSHE,2015-03-19 20:40:08,1,A,12,CHAS_2007,CNY,2632555406.49,2632555406.49,,,,,,2188223393.55,1627390148.21,,,,,,19555327.56,489958748.19,59837854.13,-9156414.69,637730.15,,-495629.84,-495629.84,,,,443836383.1,15712480.12,607142.94,592142.94,458941720.28,115425445.51,343516274.77,,,333940081.73,9576193.04,0.83,0.83,,343516274.77,333940081.73,9576193.04
000848.XSHE,2014-10-25,2013-09-30,2014-09-30,395,000848,承德露露,XSHE,2014-10-24 21:12:35,1,Q3,3,CHAS_2007,CNY,564577614.94,564577614.94,,,,,,475533137.98,344924071.01,,,,,,4397195.48,117252673.96,12169120.29,-3209922.76,,,-126671.54,-126671.54,,,,88917805.42,804706.0,,,89722511.42,23507304.36,66215207.06,,,63993822.52,2221384.54,0.13,0.13,,66215207.06,63993822.52,2221384.54
000848.XSHE,2014-10-25,2013-09-30,2014-09-30,395,000848,承德露露,XSHE,2014-10-24 21:12:35,1,CQ3,9,CHAS_2007,CNY,2038620082.69,2038620082.69,,,,,,1673498862.22,1247893158.29,,,,,,16829989.27,368255056.93,47702901.76,-7182244.03,,,-447565.5,-447565.5,,,,364673654.97,9718437.33,,,374392092.3,96509255.92,277882836.38,,,271048220.61,6834615.77,0.54,0.54,,277882836.38,271048220.61,6834615.77
000848.XSHE,2014-08-15,2013-06-30,2014-06-30,395,000848,承德露露,XSHE,2014-08-14 17:31:57,1,S1,6,CHAS_2007,CNY,1474042467.75,1474042467.75,,,,,,1197965724.24,902969087.28,,,,,,12432793.79,251002382.97,35533781.47,-3972321.27,,,-320893.96,-320893.96,,,,275755849.55,8913731.33,,,284669580.88,73001951.56,211667629.32,,,207054398.09,4613231.23,0.41,0.41,,211667629.32,207054398.09,4613231.23
000848.XSHE,2014-04-26,2013-03-31,2014-03-31,395,000848,承德露露,XSHE,2014-04-26 03:59:48,1,Q1,3,CHAS_2007,CNY,1282364853.67,1282364853.67,,,,,,1028487439.8,751903369.99,,,,,,12126043.29,245495514.88,20208833.27,-1246321.63,,,-800000.0,-800000.0,,,,253077413.87,810107.01,,,253887520.88,63970507.29,189917013.59,,,185414452.86,4502560.73,0.46,0.46,,189917013.59,185414452.86,4502560.73
000848.XSHE,2014-03-12,2012-12-31,2013-12-31,395,000848,承德露露,XSHE,2014-03-11 17:45:34,1,A,12,CHAS_2007,CNY,2137825084.78,2137825084.78,,,,,,1828756442.88,1320697300.47,,,,,,18459039.72,428737317.78,65845428.7,-5701448.97,718805.18,,-2773786.29,-2773786.29,,,,306294855.61,5137091.36,494243.26,44959.75,310937703.71,83285359.55,227652344.16,,,222428340.26,5224003.9,0.55,0.55,,227652344.16,222428340.26,5224003.9
000848.XSHE,2013-10-26,2012-09-30,2013-09-30,395,000848,承德露露,XSHE,2013-10-25 18:00:00,1,Q3,3,CHAS_2007,CNY,492433186.04,492433186.04,,,,,,435190253.33,307039801.16,,,,,,3738124.18,113462088.75,13897805.56,-2947566.32,,,-505541.2,-505541.2,,,,56737391.51,141946.72,,,56879338.23,15755388.11,41123950.12,,,39595357.25,1528592.87,0.1,0.1,,41123950.12,39595357.25,1528592.87
000848.XSHE,2013-10-26,2012-09-30,2013-09-30,395,000848,承德露露,XSHE,2013-10-25 18:00:00,1,CQ3,9,CHAS_2007,CNY,1643939397.97,1643939397.97,,,,,,1403902056.42,1033762783.35,,,,,,16080996.97,311401474.5,48061759.69,-5404958.09,,,-916615.0,-916615.0,,,,239120726.55,557690.86,431669.83,620.53,239246747.58,69264185.69,169982561.89,,,166128573.95,3853987.94,0.41,0.41,,169982561.89,166128573.95,3853987.94
000848.XSHE,2013-08-22,2012-06-30,2013-06-30,395,000848,承德露露,XSHE,2013-08-21 18:00:00,1,S1,6,CHAS_2007,CNY,1151506211.93,1151506211.93,,,,,,968711803.09,726722982.19,,,,,,12342872.79,197939385.75,34163954.13,-2457391.77,,,-411073.8,-411073.8,,,,182383335.04,415744.14,431669.83,620.53,182367409.35,53508797.58,128858611.77,,,126533216.7,2325395.07,0.32,0.32,,128858611.77,126533216.7,2325395.07
000848.XSHE,2013-04-20,2012-03-31,2013-03-31,395,000848,承德露露,XSHE,2013-04-19 18:00:00,1,Q1,3,CHAS_2007,CNY,921478192.88,921478192.88,,,,,,776858963.33,579307401.54,,,,,,10692473.56,170000601.97,17373491.95,-515005.69,,,,,,,,144619229.55,4909.14,390751.65,620.53,144233387.04,36058346.77,108175040.27,,,105513582.45,2661457.82,0.26,0.26,,108175040.27,105513582.45,2661457.82
000848.XSHE,2013-04-20,2011-12-31,2012-12-31,395,000848,承德露露,XSHE,2013-04-19 18:00:00,1,A,12,CHAS_2007,CNY,1937309261.51,1937309261.51,,,,,,1680037517.58,1286052752.65,,,,,,11756668.65,330932546.2,55956303.42,-5423642.86,762889.52,,-3468378.62,-3468378.62,,,,253803365.31,4371743.47,115194.99,115084.01,258059913.79,63523012.06,194536901.73,,,193413476.77,1123424.96,0.48,0.48,,194536901.73,193413476.77,1123424.96
000848.XSHE,2012-10-26,2011-09-30,2012-09-30,395,000848,承德露露,XSHE,2012-10-25 18:00:00,1,Q3,3,CHAS_2007,CNY,432220039.31,432220039.31,,,,,,379368684.19,304653876.69,,,,,,2422677.96,60546158.4,12138470.9,-2227255.51,1834755.75,,-175196.0,-175196.0,,,,52676159.12,29351.06,1663.74,,52703846.44,17230888.9,35472957.54,,,35814351.17,-341393.63,0.09,0.09,,35472957.54,35814351.17,-341393.63
000848.XSHE,2012-10-26,2011-09-30,2012-09-30,395,000848,承德露露,XSHE,2012-10-25 18:00:00,1,CQ3,9,CHAS_2007,CNY,1394956750.64,1394956750.64,,,,,,1197569612.4,926296134.73,,,,,,10831791.91,222710534.17,40288171.91,-4424415.65,1867395.33,,-1286374.54,-1286374.54,,,,196100763.7,3153422.79,1774.72,,199252411.77,54319605.51,144932806.26,,,145903765.74,-970959.48,0.36,0.36,,144932806.26,145903765.74,-970959.48
000848.XSHE,2012-08-29,2011-06-30,2012-06-30,395,000848,承德露露,XSHE,2012-08-28 18:00:00,1,S1,6,CHAS_2007,CNY,962736711.33,962736711.33,,,,,,818200928.21,621642258.04,,,,,,8409113.95,162164375.77,28149701.01,-2197160.14,32639.58,,-1111178.54,-1111178.54,,,,143424604.58,3124071.73,110.98,,146548565.33,37088716.61,109459848.72,,,110089414.57,-629565.85,0.274,0.274,,109459848.72,110089414.57,-629565.85
000848.XSHE,2012-04-26,2011-03-31,2012-03-31,395,000848,承德露露,XSHE,2012-04-25 18:00:00,1,Q1,3,CHAS_2007,CNY,804585305.32,804585305.32,,,,,,669563899.34,497804112.79,,,,,,7428907.02,149386251.23,15890172.56,-945444.26,-100.0,,-104940.0,-104940.0,,,,134916465.98,2965037.53,,,137881503.51,36658239.12,101223264.39,,,102493705.49,-1270441.1,0.28,0.28,,101223264.39,102493705.49,-1270441.1
000848.XSHE,2012-04-26,2010-12-31,2011-12-31,395,000848,承德露露,XSHE,2012-04-25 18:00:00,1,A,12,CHAS_2007,CNY,1816438510.25,1816438510.25,,,,,,1575398523.86,1194819351.16,,,,,,11866665.24,312872474.56,55091579.63,-3478037.03,4226490.3,,-1020817.8,-1020817.8,,,,240019168.59,547022.22,242567.61,182155.77,240323623.2,61475163.33,178848459.87,,,178461998.69,386461.18,0.49,0.49,,178848459.87,178461998.69,386461.18
000848.XSHE,2011-10-27,2010-09-30,2011-09-30,395,000848,承德露露,XSHE,2011-10-26 18:00:00,1,Q3,3,CHAS_2007,CNY,441483287.18,441483287.18,,,,,,400473021.29,285755387.28,,,,,,3779063.04,99221014.97,11998728.05,-1309983.75,1028811.7,,-73088.0,-73088.0,,,,40937177.89,63730.0,157868.47,157868.47,40843039.42,13916226.42,26926813.0,,,26691421.55,235391.45,0.09,0.09,,26926813.0,26691421.55,235391.45
000848.XSHE,2011-10-27,2010-09-30,2011-09-30,395,000848,承德露露,XSHE,2011-10-26 18:00:00,1,CQ3,9,CHAS_2007,CNY,1421908014.84,1421908014.84,,,,,,1213965025.47,897685579.34,,,,,,11858903.64,268720673.33,37529063.41,-2624050.63,794856.38,,-450113.0,-450113.0,,,,207492876.37,334407.79,157868.47,157868.47,207669415.69,55756069.68,151913346.01,,,149913184.45,2000161.56,0.49,0.49,,151913346.01,149913184.45,2000161.56
000848.XSHE,2011-08-20,2010-06-30,2011-06-30,395,000848,承德露露,XSHE,2011-08-19 18:00:00,1,S1,6,CHAS_2007,CNY,980424727.66,980424727.66,,,,,,813492004.18,611930192.06,,,,,,8079840.6,169499658.36,25530335.36,-1314066.88,-233955.32,,-377025.0,-377025.0,,,,166555698.48,270677.79,,,166826376.27,41839843.26,124986533.01,,,123221762.9,1764770.11,0.34,0.34,,124986533.01,123221762.9,1764770.11
000848.XSHE,2011-04-22,2010-03-31,2011-03-31,395,000848,承德露露,XSHE,2011-04-21 18:00:00,1,Q1,3,CHAS_2007,CNY,845901740.25,845901740.25,,,,,,693258647.07,513380240.05,,,,,,8037882.6,157816369.41,14687653.42,-657915.77,-5582.64,,-238522.03,-238522.03,,,,152404571.15,,,,152404571.15,38101142.79,114303428.36,,,112037868.69,2265559.67,0.37,0.37,,114303428.36,112037868.69,2265559.67
000848.XSHE,2011-03-31,2009-12-31,2010-12-31,395,000848,承德露露,XSHE,2011-03-30 18:00:00,1,A,12,CHAS_2007,CNY,1328680422.56,1328680422.56,,,,,,1130614604.05,874981989.77,,,,,,10545371.59,190392796.07,47811889.52,-1250982.55,8133539.65,,-1323203.73,-1323203.73,,,,196742614.78,477266.31,1855816.88,1054106.52,195364064.21,53917181.73,141446882.48,,,138692028.93,2754853.55,0.46,0.46,,141446882.48,138692028.93,2754853.55
000848.XSHE,2010-10-30,2009-09-30,2010-09-30,395,000848,承德露露,XSHE,2010-10-29 18:00:00,1,Q3,3,CHAS_2007,CNY,327304237.08,327304237.08,,,,,,290267917.99,203190201.79,,,,,,2619219.72,75979814.61,9082529.92,-605644.41,1796.36,,-199962.42,-199962.42,,,,36836356.67,-47500.0,566384.1,,36222472.57,9870171.25,26352301.32,,,25710211.25,642090.07,0.14,0.14,,26352301.32,25710211.25,642090.07
000848.XSHE,2010-10-30,2009-09-30,2010-09-30,395,000848,承德露露,XSHE,2010-10-29 18:00:00,1,CQ3,9,CHAS_2007,CNY,1025383450.97,1025383450.97,,,,,,916113918.33,697491345.03,,,,,,8751466.28,178173420.08,32661828.07,-903088.01,-61053.12,,-954000.0,-954000.0,,,,108315532.64,335109.91,1124183.52,40696.84,107526459.03,28491248.08,79035210.95,,,78307032.61,728178.34,0.26,0.26,,79035210.95,78307032.61,728178.34
000848.XSHE,2010-08-25,2009-06-30,2010-06-30,395,000848,承德露露,XSHE,2010-08-24 18:00:00,1,S1,6,CHAS_2007,CNY,698079213.89,698079213.89,,,,,,625846000.34,494301143.24,,,,,,6132246.56,102193605.47,23579298.15,-297443.6,-62849.48,,-754037.58,-754037.58,,,,71479175.97,382609.91,557799.42,40696.84,71303986.46,18621076.83,52682909.63,,,52596821.36,86088.27,0.28,0.28,,52682909.63,52596821.36,86088.27
